age,workclass,fnlwgt,education,education-num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours-per-week,native-country,income >50K?
53,0,169846,8,9,0,8,0,0,0,0,0,40,0,1
49,2,191681,9,10,0,4,2,0,1,0,0,50,0,1
19,0,101509,9,10,2,5,1,0,1,0,0,32,0,0
31,0,309974,13,13,3,3,1,4,0,0,0,40,0,0
29,1,162298,13,13,0,3,2,0,1,0,0,70,0,1
23,0,211678,9,10,2,7,3,0,1,0,0,40,0,0
79,0,124744,9,10,0,5,4,0,1,0,0,20,0,0
27,0,213921,8,9,2,2,1,0,1,0,0,40,20,0
40,0,32214,10,12,0,8,2,0,1,0,0,40,0,0
18,0,309634,6,7,2,2,1,0,0,0,0,22,0,0
31,4,125927,3,4,0,9,2,0,1,0,0,40,0,0
18,0,446839,8,9,2,3,3,0,1,0,0,30,0,0
52,0,276515,13,13,0,2,2,0,1,0,0,40,12,0
46,0,51618,8,9,0,2,0,0,0,0,0,40,0,0
59,0,159937,8,9,0,3,2,0,1,0,0,48,0,0
44,0,343591,8,9,1,1,3,0,0,14344,0,40,0,1
53,0,346253,8,9,1,3,1,0,0,0,0,35,0,0
49,4,268234,8,9,0,12,2,0,1,0,0,40,0,1
33,0,202051,14,14,0,5,2,0,1,0,0,50,0,0
30,0,54334,4,5,2,3,3,0,1,0,0,40,0,0
43,3,410867,15,16,2,5,3,0,0,0,0,50,0,1
57,0,249977,11,11,0,5,2,0,1,0,0,40,0,0
37,0,286730,9,10,1,1,5,0,0,0,0,40,0,0
28,0,212563,9,10,1,7,5,4,0,0,0,25,0,0
34,4,226296,13,13,0,12,2,0,1,0,0,40,0,1
29,4,115585,9,10,2,6,3,0,1,0,0,50,0,0
48,1,191277,15,16,0,5,2,0,1,0,1902,60,0,1
37,0,202683,9,10,0,3,2,0,1,0,0,48,0,1
48,0,171095,10,12,1,4,5,0,0,0,0,40,2,0
32,3,249409,8,9,2,2,1,4,1,0,0,40,0,0
76,0,124191,14,14,0,4,2,0,1,0,0,40,0,1
44,0,198282,13,13,0,4,2,0,1,15024,0,60,0,1
47,1,149116,14,14,2,5,3,0,0,0,0,50,0,0
20,0,188300,9,10,2,0,1,0,0,0,0,40,0,0
29,0,103432,8,9,2,1,3,0,1,0,0,40,0,0
32,2,317660,8,9,0,1,2,0,1,7688,0,40,0,1
30,0,194901,6,7,2,6,1,0,1,0,0,40,0,0
31,4,189265,8,9,2,8,3,0,0,0,0,40,0,0
42,0,124692,8,9,0,6,2,0,1,0,0,40,0,0
24,0,432376,13,13,2,3,4,0,1,0,0,40,0,0
38,0,65324,12,15,0,5,2,0,1,0,0,40,0,1
56,1,335605,8,9,0,2,2,0,1,0,1887,50,4,1
28,0,377869,9,10,0,3,0,0,0,4064,0,25,0,0
36,0,102864,8,9,2,7,1,0,0,0,0,40,0,0
53,0,95647,4,5,0,6,2,0,1,0,0,50,0,0
56,2,303090,9,10,0,3,2,0,1,0,0,50,0,0
49,4,197371,11,11,0,1,2,4,1,0,0,40,0,1
55,0,247552,9,10,0,3,2,0,1,0,0,56,0,0
22,0,102632,8,9,2,1,3,0,1,0,0,41,0,0
21,0,199915,9,10,2,2,1,0,0,0,0,40,0,0
40,0,118853,13,13,0,4,2,0,1,0,0,60,0,0
30,0,77143,13,13,2,4,1,4,1,0,0,40,5,0
29,5,267989,13,13,0,5,2,0,1,0,0,50,0,1
19,0,301606,9,10,2,2,1,4,1,0,0,35,0,0
47,0,287828,13,13,0,4,0,0,0,0,0,40,0,1
20,0,111697,9,10,2,8,1,0,0,0,1719,28,0,0
31,0,114937,10,12,0,8,2,0,1,0,0,40,0,1
39,0,365739,9,10,1,1,3,0,1,0,0,40,0,0
28,0,69621,10,12,2,3,3,0,0,0,0,60,0,0
24,0,43323,8,9,2,2,3,0,0,0,1762,40,0,0
38,1,120985,8,9,0,1,2,0,1,4386,0,35,0,0
37,0,254202,13,13,0,3,2,0,1,0,0,50,0,0
46,0,146195,10,12,1,0,3,4,0,0,0,36,0,0
38,3,125933,14,14,0,5,2,0,1,0,0,40,13,1
43,1,56920,8,9,0,1,2,0,1,0,0,60,0,0
27,0,163127,11,11,0,8,0,0,0,0,0,35,0,0
20,0,34310,9,10,2,3,1,0,1,0,0,20,0,0
49,0,81973,9,10,0,1,2,1,1,0,0,40,0,1
61,2,66614,8,9,0,1,2,0,1,0,0,40,0,0
27,0,232782,9,10,2,3,1,0,0,0,0,40,0,0
19,0,316868,9,10,2,2,1,0,1,0,0,30,20,0
45,0,196584,11,11,2,5,3,0,0,0,1564,40,0,1
70,0,105376,9,10,2,0,4,0,1,0,0,40,0,0
31,0,185814,8,9,2,10,5,4,0,0,0,30,0,0
22,0,175374,9,10,0,2,2,0,1,0,0,24,0,0
36,0,108293,8,9,4,2,5,0,0,0,0,24,0,0
64,0,181232,6,7,0,1,2,0,1,0,2179,40,0,0
47,4,186009,9,10,1,8,5,0,0,0,0,38,20,0
34,0,198183,8,9,2,8,3,0,0,0,0,40,0,0
33,0,163003,13,13,2,4,4,1,0,0,0,40,15,0
21,0,296158,8,9,2,1,1,0,1,0,0,35,0,0
48,0,187715,8,9,0,1,2,0,1,0,0,46,0,0
23,0,214542,13,13,2,6,3,0,1,0,0,40,0,0
71,1,494223,9,10,3,3,5,4,1,0,1816,2,0,0
29,0,191535,8,9,1,1,3,0,1,0,0,60,0,0
42,0,228456,13,13,3,2,4,4,1,0,0,50,0,0
25,0,252752,8,9,2,2,5,0,0,0,0,40,0,0
44,2,78374,14,14,1,4,5,1,0,0,0,40,0,0
28,0,88419,8,9,2,4,3,1,0,0,0,40,2,0
45,1,201080,14,14,0,3,2,0,1,0,0,40,0,1
36,0,207157,9,10,1,2,5,0,0,0,0,40,20,0
39,3,235485,10,12,2,4,3,0,1,0,0,42,0,0
46,5,102628,14,14,4,12,5,0,1,0,0,40,0,0
18,0,25828,6,7,2,6,1,0,1,0,0,16,0,0
66,4,54826,11,11,4,5,3,0,0,0,0,20,0,0
27,0,124953,8,9,2,2,3,0,1,0,1980,40,0,0
28,5,175325,8,9,0,12,2,0,1,0,0,40,0,0
51,0,96062,9,10,0,3,2,0,1,0,1977,40,0,1
27,0,428030,13,13,2,1,3,0,1,0,0,50,0,0
28,5,149624,13,13,0,5,2,0,1,0,0,40,0,1
27,0,253814,8,9,5,3,5,0,0,0,0,25,0,0
21,0,312956,8,9,2,1,1,4,1,0,0,40,0,0
34,0,483777,8,9,2,6,3,4,1,0,0,40,0,0
18,0,183930,8,9,2,2,1,0,1,0,0,12,0,0
33,0,37274,13,13,0,5,2,0,1,0,0,65,0,0
44,4,181344,9,10,0,4,2,4,1,0,0,38,0,1
43,0,114580,9,10,1,8,3,0,0,0,0,40,0,0
30,0,633742,9,10,2,1,3,4,1,0,0,45,0,0
40,0,286370,3,4,0,7,2,0,1,0,0,40,20,1
37,3,29054,9,10,0,8,2,0,1,0,0,42,0,1
34,0,304030,8,9,0,8,2,4,1,0,0,40,0,0
41,1,143129,13,13,1,4,3,0,0,0,0,40,0,0
31,0,99928,14,14,0,5,0,0,0,0,0,50,0,0
58,5,109567,15,16,0,5,2,0,1,0,0,1,0,1
38,0,155222,9,10,1,7,3,4,0,0,0,28,0,0
24,0,159567,9,10,0,7,2,0,1,0,0,40,0,0
41,4,523910,13,13,0,1,2,4,1,0,0,40,0,0
47,0,120939,9,10,0,0,2,0,1,0,0,45,0,0
41,3,130760,13,13,0,0,2,0,1,0,0,24,0,0
23,0,197387,2,3,0,10,4,0,1,0,0,40,20,0
36,0,99374,9,10,1,1,3,0,1,0,0,40,0,0
40,3,56795,14,14,2,4,3,0,0,14084,0,55,0,1
35,0,138992,14,14,0,5,4,0,1,7298,0,40,0,1
24,1,32921,8,9,2,3,3,0,1,0,0,40,0,0
26,0,397317,14,14,2,5,3,0,0,0,1876,40,0,0
51,0,259323,13,13,0,4,2,0,1,0,0,50,0,1
42,4,254817,9,10,2,5,3,0,0,0,1340,40,0,0
37,5,48211,8,9,1,8,5,0,0,0,0,35,0,0
18,0,140164,6,7,2,3,1,0,0,0,0,40,0,0
36,0,128757,13,13,0,2,2,4,1,7298,0,36,0,1
35,0,36270,8,9,1,1,3,0,1,0,0,60,0,0
58,2,210563,8,9,0,3,0,0,0,15024,0,35,0,1
17,0,65368,6,7,2,3,1,0,0,0,0,12,0,0
44,4,160943,8,9,0,10,2,4,1,0,0,40,0,0
37,0,208358,8,9,0,1,2,0,1,0,0,40,0,1
35,0,153790,9,10,2,3,3,2,0,0,0,40,0,0
60,0,85815,8,9,0,1,2,1,1,0,0,40,0,0
54,2,125417,3,4,0,7,2,0,1,0,0,40,0,1
37,0,635913,13,13,2,4,3,4,1,0,0,60,0,1
50,0,313321,10,12,1,3,3,0,0,0,0,40,0,0
38,0,182609,13,13,0,3,2,0,1,0,0,50,17,0
45,0,109434,13,13,0,5,2,0,1,0,0,55,0,0
25,0,255004,5,6,2,1,3,0,1,0,0,40,0,0
31,0,197860,9,10,0,6,2,0,1,0,0,40,0,0
90,0,51744,8,9,2,2,3,4,1,0,2206,40,0,0
54,0,176681,8,9,0,8,2,4,1,0,0,20,0,0
53,4,140359,0,1,2,7,3,0,0,0,0,35,0,0
18,0,243313,8,9,2,3,1,0,0,0,0,40,0,0
66,1,167687,8,9,0,9,2,0,1,1409,0,50,0,0
75,0,314209,11,11,4,8,3,0,0,0,0,20,29,0
65,0,176796,8,9,1,8,3,0,0,0,0,40,0,0
35,0,538583,6,7,3,10,3,4,1,3674,0,40,0,0
41,0,130408,8,9,1,3,5,4,0,0,0,38,0,0
25,0,159732,9,10,2,8,3,0,1,0,0,42,0,0
33,0,110978,9,10,1,1,4,3,0,0,0,40,0,0
28,0,76714,12,15,2,5,3,0,1,0,0,55,0,1
59,5,268700,8,9,0,2,2,0,1,0,0,40,0,0
40,5,170525,9,10,2,8,3,0,0,0,0,38,0,0
41,0,180138,13,13,0,4,2,0,1,0,0,50,13,1
38,4,115076,14,14,0,4,2,0,1,0,0,70,0,1
23,0,115458,8,9,2,10,1,0,1,0,0,40,0,0
40,0,347890,13,13,0,5,2,0,1,0,0,40,0,1
41,1,196001,8,9,0,2,0,0,0,0,0,20,0,0
24,5,273905,10,12,0,12,2,0,1,0,0,50,0,0
38,0,179488,9,10,1,1,3,0,1,0,1741,40,0,0
58,0,236596,8,9,0,8,2,0,1,0,0,45,0,1
32,0,183916,8,9,2,2,3,0,0,0,0,34,0,0
40,0,207578,10,12,0,0,2,0,1,0,1977,60,0,1
41,0,112763,12,15,0,5,0,0,0,0,0,40,0,1
42,0,390781,13,13,0,8,0,4,0,0,0,40,0,0
59,4,171328,5,6,4,2,5,4,0,0,0,30,0,0
19,4,27382,9,10,2,8,1,0,1,0,0,40,0,0
58,0,259014,9,10,2,10,3,0,1,0,0,20,0,0
42,1,303044,8,9,0,9,2,1,1,0,0,40,1,1
20,0,117789,8,9,2,2,1,0,0,0,0,40,0,0
32,0,172579,8,9,3,2,3,0,0,0,0,30,0,0
45,0,187666,11,11,4,4,3,0,0,0,0,45,0,0
50,0,204518,3,4,1,1,3,0,1,0,0,40,0,0
36,0,150042,13,13,1,5,1,0,0,0,0,40,0,0
45,0,98092,8,9,0,3,2,0,1,0,0,60,0,0
17,0,245918,6,7,2,2,1,0,1,0,0,12,0,0
59,0,146013,9,10,0,3,2,0,1,4064,0,40,0,0
26,0,378322,6,7,0,1,2,0,1,0,0,40,0,0
37,2,257295,9,10,0,4,2,1,1,0,0,75,34,1
64,0,21174,8,9,0,4,2,0,1,0,0,40,0,1
33,0,185480,13,13,2,5,3,0,0,0,0,45,0,0
33,0,222205,8,9,0,1,0,0,0,0,0,40,0,1
61,0,69867,8,9,0,4,2,0,1,0,0,40,0,1
17,0,191260,4,5,2,2,1,0,1,1055,0,24,0,0
50,1,30653,14,14,0,9,2,0,1,2407,0,98,0,0
27,4,209109,14,14,2,5,1,0,1,0,0,35,0,0
30,0,70377,8,9,1,5,1,0,0,0,0,40,0,0
43,0,477983,8,9,0,6,2,4,1,0,0,40,0,0
44,0,170924,9,10,0,1,2,0,1,7298,0,40,0,1
35,0,190174,9,10,2,4,3,0,0,0,0,40,0,0
25,0,193787,9,10,2,0,1,0,0,0,0,40,0,0
24,0,279472,9,10,0,7,0,0,0,7298,0,48,0,1
22,0,34918,13,13,2,5,3,0,0,0,0,15,5,0
42,4,97688,9,10,0,1,2,0,1,5178,0,40,0,1
34,0,175413,10,12,1,3,5,4,0,0,0,45,0,0
60,0,173960,13,13,1,5,3,0,0,0,0,42,0,0
21,0,205759,8,9,2,6,1,0,1,0,0,40,0,0
57,3,425161,14,14,0,3,2,0,1,15024,0,40,0,1
41,0,220531,12,15,0,5,2,0,1,0,0,60,0,1
50,0,176609,9,10,1,2,3,0,1,0,0,45,0,0
25,0,371987,13,13,2,4,3,0,0,0,0,40,0,0
50,0,193884,3,4,0,1,2,0,1,0,0,40,26,0
36,0,200352,13,13,0,5,2,0,1,0,0,45,0,0
31,0,127595,8,9,1,5,3,0,0,0,0,40,0,0
29,4,220419,13,13,2,12,3,0,1,0,0,56,0,0
21,0,231931,9,10,2,3,1,0,1,0,0,45,0,0
27,0,248402,13,13,2,0,5,4,0,0,0,40,0,0
65,0,111095,8,9,0,10,2,0,1,0,0,16,0,0
37,2,57424,13,13,1,3,3,0,0,0,0,60,0,0
24,0,278130,8,9,2,1,1,0,1,0,0,40,0,0
38,0,169469,8,9,1,3,3,0,1,0,0,80,0,0
48,0,146268,13,13,0,8,2,0,1,7688,0,40,0,1
21,0,153718,9,10,2,2,3,1,0,0,0,25,0,0
31,0,217460,8,9,0,10,2,0,1,0,0,45,0,1
55,0,238638,8,9,0,3,2,0,1,4386,0,40,0,1
24,0,303296,9,10,0,8,0,1,0,0,0,40,25,0
43,0,173321,8,9,1,8,3,0,0,0,0,40,0,0
26,0,193945,10,12,2,0,3,0,1,0,0,45,0,0
46,0,83082,10,12,2,5,3,0,0,0,0,33,0,0
35,0,193815,10,12,0,8,2,0,1,0,0,40,0,1
41,2,34987,9,10,0,9,2,0,1,0,0,54,0,1
26,0,59306,13,13,2,3,3,0,1,0,0,40,0,0
34,0,142897,14,14,0,4,2,1,1,7298,0,35,27,1
36,1,205607,13,13,1,5,3,4,0,0,0,40,0,1
22,0,199698,9,10,2,3,1,0,1,0,0,15,0,0
24,0,191954,9,10,2,7,3,0,1,0,0,40,0,0
77,1,138714,9,10,0,3,2,0,1,0,0,40,0,0
22,0,399087,2,3,0,7,4,0,0,0,0,40,20,0
29,0,423158,9,10,2,0,3,0,0,0,0,40,0,0
62,0,159841,8,9,4,2,3,0,0,0,0,24,0,0
39,1,174308,8,9,0,4,2,0,1,0,0,40,0,0
43,0,50356,9,10,0,1,2,0,1,0,1485,50,0,0
35,0,186110,8,9,1,10,3,0,1,0,0,45,0,0
29,0,200381,6,7,2,4,3,0,0,0,0,40,0,0
76,1,174309,14,14,0,1,2,0,1,0,0,10,0,0
63,1,78383,8,9,0,9,2,0,1,0,0,45,0,0
43,0,187728,9,10,0,5,0,0,0,0,1887,50,0,1
58,1,321171,8,9,0,6,2,0,1,0,0,40,0,0
66,0,127921,8,9,2,10,3,0,1,2050,0,55,0,0
41,0,206565,9,10,2,1,3,4,1,0,0,45,0,0
26,0,224563,13,13,2,8,3,0,1,0,0,40,0,0
47,0,178686,11,11,2,2,3,0,1,0,0,40,0,0
55,4,98545,5,6,0,8,2,0,1,0,0,40,0,0
53,0,242606,8,9,0,10,2,0,1,0,0,40,0,0
17,0,270942,2,3,2,2,4,0,1,0,0,48,20,0
30,0,94235,8,9,2,1,4,0,1,0,0,40,0,0
49,0,71195,14,14,2,5,3,0,1,0,0,60,0,0
19,0,104112,8,9,2,3,5,4,1,0,0,30,28,0
45,0,261192,8,9,0,2,2,4,1,0,0,40,0,0
26,0,94936,10,12,2,3,3,0,1,0,0,40,0,0
38,0,296478,11,11,0,1,2,0,1,7298,0,40,0,1
36,5,119272,8,9,0,12,2,0,1,7298,0,40,0,1
33,0,85043,8,9,2,9,3,0,1,0,0,20,0,0
22,5,293364,9,10,2,12,1,4,0,0,0,40,0,0
43,1,241895,13,13,2,3,3,0,1,0,0,42,0,0
56,0,101128,10,12,5,2,3,0,1,0,0,25,13,0
31,0,156464,13,13,2,5,1,0,1,0,0,25,0,0
33,0,117963,13,13,0,4,2,0,1,0,0,40,0,1
26,0,192262,8,9,0,2,2,0,1,0,0,40,0,0
33,0,111363,13,13,0,4,2,0,1,0,0,40,0,1
46,4,329752,6,7,0,10,2,0,1,0,0,30,0,0
38,3,95432,8,9,0,8,2,0,1,0,0,40,0,1
65,0,161400,6,7,4,2,5,3,1,0,0,40,0,0
40,0,96129,11,11,0,0,2,0,1,0,0,40,0,1
42,0,111949,8,9,0,8,0,0,0,0,0,35,0,0
26,1,117125,4,5,0,1,2,0,1,0,0,40,21,0
36,0,348022,5,6,0,2,0,0,0,0,0,24,0,0
62,0,270092,14,14,0,5,2,0,1,0,0,40,0,1
43,0,180609,13,13,0,10,2,0,1,0,0,45,0,0
43,0,174575,13,13,1,4,3,0,1,0,1564,45,0,1
22,0,410439,8,9,5,3,3,0,1,0,0,55,0,0
28,0,92262,8,9,0,1,2,0,1,0,0,40,0,0
56,1,183081,9,10,0,3,2,0,1,0,0,45,0,0
22,0,362589,10,12,2,3,3,0,0,0,0,15,0,0
57,0,212448,13,13,1,4,3,0,0,0,0,45,0,1
39,0,481060,8,9,1,3,5,0,0,0,0,40,0,0
26,3,185885,9,10,2,8,5,0,0,0,0,15,0,0
17,0,89821,6,7,2,2,1,0,1,0,0,10,0,0
40,5,184018,11,11,0,7,2,0,1,0,0,38,0,1
45,0,256649,8,9,0,7,2,4,1,0,0,40,0,0
44,0,160323,8,9,2,1,3,4,1,0,0,40,0,0
20,4,350845,9,10,2,8,1,0,0,0,0,10,0,0
33,0,267404,8,9,0,1,0,0,0,0,0,40,0,0
23,0,35633,9,10,2,3,3,0,1,0,0,40,0,0
46,1,80914,14,14,1,4,3,0,1,0,0,30,0,0
38,0,172927,8,9,0,3,2,0,1,0,0,50,0,0
54,0,174319,8,9,1,10,3,0,1,0,0,40,0,0
46,0,214955,2,3,1,1,3,0,0,0,2339,45,0,0
25,0,344991,9,10,0,1,2,0,1,0,0,40,0,0
46,0,108699,9,10,1,3,3,0,0,0,0,40,0,0
36,4,117312,9,10,0,10,0,0,0,0,0,40,0,0
23,0,396099,8,9,2,2,3,0,0,0,0,25,0,0
29,0,134152,8,9,3,7,3,0,1,0,0,40,0,0
44,0,162028,9,10,0,8,0,0,0,0,2415,6,0,1
19,0,25429,9,10,2,8,1,0,0,0,0,16,0,0
19,0,232392,8,9,2,2,4,0,0,0,0,40,0,0
35,0,220098,8,9,0,2,0,0,0,0,0,40,0,1
27,0,301302,13,13,2,1,3,0,1,0,0,50,0,0
46,1,277946,10,12,3,1,3,0,1,0,0,40,0,0
34,0,196164,8,9,2,2,3,0,0,0,0,35,0,0
44,0,115562,9,10,0,0,2,0,1,0,0,40,0,0
45,0,96975,9,10,1,6,5,0,0,0,0,40,0,0
25,0,86872,13,13,0,4,2,0,1,0,0,55,0,1
52,2,132178,13,13,0,4,2,0,1,0,0,50,0,1
20,0,416103,9,10,2,6,1,0,1,0,0,40,0,0
28,0,108574,9,10,2,2,3,0,0,0,0,40,0,0
50,5,288353,13,13,0,12,2,0,1,0,0,40,0,1
34,0,227689,11,11,1,0,3,0,0,0,0,64,0,0
28,0,166481,3,4,0,6,2,3,1,0,2179,40,3,0
41,0,445382,14,14,0,4,2,0,1,0,1977,65,0,1
28,0,110145,8,9,0,8,2,0,1,0,0,40,0,0
46,1,317253,8,9,0,1,2,0,1,0,0,25,0,0
32,0,364657,9,10,0,4,2,0,1,0,0,50,0,0
41,4,42346,9,10,1,2,3,4,0,0,0,24,0,0
24,0,241951,8,9,2,6,5,4,0,0,0,40,0,0
33,0,118500,9,10,1,4,5,0,0,0,0,40,0,0
46,0,188386,15,16,0,4,2,0,1,15024,0,60,0,1
31,5,1033222,9,10,0,7,2,0,1,0,0,40,0,0
35,0,92440,7,8,1,1,3,0,1,0,0,50,0,1
52,0,190762,1,2,0,7,2,0,1,0,0,40,20,0
30,0,426017,6,7,2,2,1,0,0,0,0,19,0,0
34,4,243867,6,7,3,7,3,4,1,0,0,40,0,0
34,5,240283,8,9,1,10,5,0,0,0,0,40,0,0
20,0,61777,9,10,0,3,2,0,1,0,0,30,0,0
17,0,175024,6,7,2,6,1,0,1,2176,0,18,0,0
32,5,92003,13,13,0,4,0,0,0,0,0,40,0,1
29,0,188401,8,9,1,9,3,0,1,0,0,40,0,0
33,0,228528,5,6,2,1,5,0,0,0,0,35,0,0
25,0,133373,8,9,0,10,2,0,1,0,0,60,0,0
36,3,255191,14,14,2,5,3,0,1,0,1408,40,0,0
23,0,204653,8,9,2,6,3,0,1,0,0,72,24,0
63,2,222289,8,9,0,4,2,0,1,0,0,40,0,1
47,4,287480,14,14,0,5,2,0,1,0,0,40,0,0
40,1,204116,13,13,5,5,3,0,0,2174,0,40,0,0
30,0,29662,10,12,0,2,0,0,0,0,0,25,0,1
27,0,116358,9,10,2,1,1,1,1,0,1980,40,15,0
33,0,208405,14,14,0,5,2,0,1,0,0,50,0,1
34,4,284843,8,9,2,9,3,4,1,594,0,60,0,0
34,4,117018,9,10,2,12,3,0,0,0,0,40,0,0
23,0,81281,9,10,0,8,2,0,1,0,0,40,0,0
42,4,340148,9,10,0,8,0,0,0,0,0,40,0,0
29,0,363425,13,13,2,5,3,0,1,0,0,40,0,0
45,0,45857,8,9,1,8,3,0,0,0,0,28,0,0
24,3,191073,8,9,2,13,1,0,1,0,0,40,0,0
44,0,116632,9,10,0,5,2,0,1,0,0,40,0,1
27,0,405855,4,5,2,1,4,0,1,0,0,40,20,0
20,0,298227,9,10,2,3,3,0,1,0,0,35,0,0
44,0,290521,8,9,4,4,5,4,0,0,0,40,0,0
51,0,56915,8,9,0,1,2,2,1,0,0,40,0,0
20,0,146538,8,9,0,7,2,0,1,0,0,40,0,0
19,0,206399,8,9,2,7,1,4,0,0,0,40,0,0
45,2,197332,9,10,0,1,2,0,1,0,0,55,0,1
60,0,245062,8,9,0,1,2,0,1,0,0,40,0,1
44,1,234885,8,9,0,3,0,0,0,0,0,40,0,1
40,0,72887,11,11,0,7,2,1,1,0,0,40,0,1
30,0,180374,8,9,0,4,0,0,0,0,0,40,0,0
38,0,351299,9,10,0,10,2,4,1,0,0,50,0,0
23,0,54012,8,9,0,10,2,0,1,0,0,60,0,0
44,0,116632,10,12,2,9,1,0,1,0,0,40,0,0
54,4,288825,8,9,0,10,2,4,1,0,0,40,0,0
32,0,132601,13,13,0,5,2,0,1,0,0,50,0,0
50,0,193374,1,2,5,1,5,0,1,0,0,40,0,0
24,0,170070,13,13,2,0,3,0,0,0,0,20,0,0
37,0,126708,8,9,0,8,0,0,0,0,0,60,0,0
52,0,35598,8,9,1,10,5,0,1,0,0,40,0,0
38,0,33983,9,10,0,10,2,0,1,0,0,40,0,0
49,0,192776,14,14,0,4,2,0,1,0,1977,45,0,1
30,0,118551,13,13,0,0,0,0,0,0,0,16,0,1
60,0,201965,9,10,2,5,5,0,1,0,0,40,0,1
35,0,285020,8,9,2,1,3,0,1,0,0,40,0,0
30,0,303990,8,9,2,10,3,0,1,0,0,60,0,0
67,0,49401,11,11,1,2,3,0,0,0,0,24,0,0
46,0,279196,13,13,2,1,3,0,0,0,0,40,0,0
17,0,211870,4,5,2,2,3,0,1,0,0,6,0,0
22,0,281432,9,10,2,6,1,0,1,0,0,30,0,0
27,0,161155,5,6,2,2,3,0,1,0,0,40,0,0
23,0,197904,8,9,2,2,5,0,0,0,0,35,0,0
33,0,111746,10,12,0,1,2,0,1,0,0,45,21,0
